edgeLabel,locationA,locationB,actualDistance,Contributer,Notes
Boston_tofrom_NewHaven_on_I95N,BostonMA,NewHavenCT,152,IT,
Clarksville_tofrom_JacksonTN,ClarksvilleTN,JacksonTN,124,IT,
MurfreesboroTN_tofrom_LynchburgTN,MurfreesboroTN,LynchburgTN,42,IT,
FayettevilleTN_tofrom_LynchburgTN,FayettevilleTN,LynchburgTN,15,IT,
NashvilleTN_tofrom_ClarksvilleTN,NashvilleTN,ClarksvilleTN,48,IT,
IndianapolisIN_tofrom_FortWayneIN,IndianapolisIN,FortWayneIN,125,IT,
FortWayneIN_tofrom_DetroitMI,FortWayneIN,DetroitMI,162,IT,
FortWayneIN_tofrom_AnnArborMI,FortWayneIN,AnnArborMI,142,IT,
FortWayneIN_tofrom_ToledoOH,FortWayneIN,ToledoOH,102,IT,
DetroitMI_tofrom_ToledoOH,DetroitMI,ToledoOH,59,IT,
DetroitMI_tofrom_ClevelandOH,DetroitMI,ClevelandOH,170,IT,
DetroitMI_tofrom_AnnArborMI,DetroitMI,AnnArborMI,44,IT,
DetroitMI_tofrom_ColumbusOH_on_I75S,DetroitMI,ColumbusOH,199,IT,
ToledoOH_tofrom_ColumbusOH_on_I75S,ToledoOH,ColumbusOH,138,IT,
ToledoOH_tofrom_ClevelandOH,ToledoOH,ClevelandOH,114,IT,
AnnArborMI_tofrom_ClevelandOH,AnnArborMI,ClevelandOH,168,IT,
AnnArborMI_tofrom_ColumbusOH,AnnArborMI,ColumbusOH,189,IT,
ChicagoIL_tofrom_ToledoOH,ChicagoIL,ToledoOH,161,IT,
